ID Number;Name;Nickname;A+++;A++;A+;A;B;C;D
0;Air_conditioner;ac;320;550;700;850;920;980;1100
1;Lighting;lux;0;0;0;0;0;0;0
2;Fridge;frg;130;170;240;309;406;530;640
3;Freezer;frz;140;180;250;320;420;550;660
4;Electric_oven;elo;70;90;110;130;150;170;200
5;Microwave_oven;mwo;75;75;75;75;75;75;75
6;Electric_boiler;bo;450;550;900;1300;1500;1800;2600
7;Iron;ir;135;135;135;135;135;135;135
8;Vacuum_cleaner;vc;10;13;19;25;31;37;45
9;Washing_machine;wm;150;160;190;210;240;270;300
10;Dish_washer;dw;220;240;270;300;350;390;420
11;Tumble_drier;td;120;150;190;280;370;420;450
12;PC;pc;132;132;132;132;132;132;132
13;TV;tv;65;85;119;170;227;255;283
14;Laptop;lap;44;44;44;44;44;44;44
15;Hifi_stereo;hs;175;175;175;175;175;175;175
16;DVD_reader;vr;30;40;60;80;110;160;220
