'Time [min]';'Power [W]'
0.0;0.0
1.0;330.0
2.0;330.0
3.0;330.0
4.0;330.0
5.0;330.0
6.0;330.0
7.0;330.0
8.0;330.0
9.0;330.0
10.0;330.0
11.0;330.0
12.0;330.0
13.0;330.0
14.0;330.0
15.0;330.0
16.0;330.0
17.0;330.0
18.0;330.0
19.0;330.0
20.0;330.0
21.0;330.0
22.0;330.0
23.0;330.0
24.0;330.0
25.0;330.0
26.0;330.0
27.0;330.0
28.0;330.0
29.0;330.0
30.0;330.0
31.0;330.0
32.0;330.0
33.0;330.0
34.0;330.0
35.0;330.0
36.0;330.0
37.0;330.0
38.0;330.0
39.0;330.0
40.0;330.0
41.0;2200.0
42.0;2200.0
43.0;2200.0
44.0;2200.0
45.0;2200.0
46.0;2200.0
47.0;2200.0
48.0;2200.0
49.0;2200.0
50.0;2200.0
51.0;2200.0
52.0;2200.0
53.0;2200.0
54.0;2200.0
55.0;2200.0
56.0;2200.0
57.0;2200.0
58.0;2200.0
59.0;2200.0
60.0;2200.0
61.0;330.0
62.0;330.0
63.0;330.0
64.0;330.0
65.0;330.0
66.0;330.0
67.0;330.0
68.0;330.0
69.0;330.0
70.0;330.0
71.0;330.0
72.0;330.0
73.0;330.0
74.0;330.0
75.0;330.0
76.0;330.0
77.0;330.0
78.0;330.0
79.0;330.0
80.0;330.0
81.0;330.0
82.0;330.0
83.0;330.0
84.0;330.0
85.0;330.0
86.0;330.0
87.0;428.42105263157896
88.0;526.8421052631579
89.0;625.2631578947369
90.0;723.6842105263158
91.0;822.1052631578948
92.0;920.5263157894736
93.0;1018.9473684210526
94.0;1117.3684210526317
95.0;1215.7894736842104
96.0;1314.2105263157896
97.0;1412.6315789473683
98.0;1511.0526315789473
99.0;1609.4736842105262
100.0;1707.8947368421052
101.0;1806.3157894736842
102.0;1904.7368421052631
103.0;2003.157894736842
104.0;2101.578947368421
105.0;2200.0
106.0;660.0
107.0;660.0
108.0;660.0
109.0;330.0
110.0;0.0
