'Time [min]';'Load profile [W]';'Load min [W]';'Load med [W]';'Load max [W]'
0;48350.866224589045;185.99931567732122;330.0378323277482;698.7001920950557
60;39564.70591491151;155.13001567732113;245.60375996955864;488.03907199391176
120;33932.75734387352;136.29681567732118;226.77055996955858;419.605122667135
180;28209.198773456174;121.68941567732115;212.16315996955868;355.2653886239595
240;26867.5115651509;109.4071156773212;199.88085996955863;390.46547559475397
300;24213.84005646834;101.62231567732118;192.09605996955864;372.1027673967444
360;21977.782871319345;108.38561567732116;108.38561567732116;341.9615886239596
420;25894.92641129596;121.82521567732117;145.18160648452144;405.163289355829
480;36862.102102604156;128.71591567732116;219.18965996955865;670.8795824931318
540;48728.14511497236;138.1201156773212;371.6800683240318;925.252532010543
600;59359.51902940397;135.67461567732116;431.1800452402729;969.0011492178863
660;57720.07621312458;154.32788082484214;388.2441718479948;896.07358692973
720;49419.337388494336;136.7502156773212;354.969393759513;833.9055225747503
780;51779.137826575025;133.4881156773212;363.8016621004566;961.5096778641237
840;58326.223330197565;138.57261567732118;415.0363280675006;995.0205105396726
900;62583.79395065721;136.75501567732118;460.80882213140984;998.0357801077045
960;59786.65040362525;147.98525231916955;457.2200458547675;984.4169101978691
1020;51645.038026114584;133.78311567732118;403.33490762697784;834.0385138663158
1080;51015.52118403975;154.67581567732117;396.1431943631814;905.83172850145
1140;56612.91722449069;180.7243156773212;475.4298484610839;927.0435674283168
1200;65187.34307359331;210.86801567732118;519.3460013864211;961.6155587327654
1260;68387.85856485074;242.54152189350611;513.8904628397472;1169.5112759380459
1320;65345.12586725085;212.5796156773212;493.7939879643722;950.8718531202435
1380;58794.49750407163;199.9086156773211;433.48867783917217;911.4351119519732
