'Time [min]';'Load profile [W]';'Load min [W]';'Load med [W]';'Load max [W]'
0;54581.872041026254;185.99931567732122;411.4532231554261;702.9174515176801
60;44721.19825864425;155.13001567732113;245.60375996955864;520.4883411149676
120;39152.422243621666;136.29681567732118;226.77055996955858;556.6556811992198
180;32734.142671842295;121.68941567732115;212.16315996955868;405.04617051907843
240;28956.26767421556;109.4071156773212;199.88085996955863;392.72713089802147
300;26651.093897826537;101.62231567732118;192.09605996955864;393.0295385913934
360;27786.50119463815;108.38561567732116;198.85935996955865;449.6458896499239
420;34201.467593536734;121.82521567732117;212.29895996955864;568.2686769212589
480;42460.171035258565;128.71591567732116;276.6611211567733;734.2670986306262
540;54285.69034862355;138.1201156773212;346.2517466440658;994.5680105396724
600;52519.30693205473;135.67461567732116;369.2385237493239;814.7563671583999
660;51860.804174968085;145.47121567732108;387.9369691019786;965.366773034394
720;52614.2937411;136.7502156773212;362.59517693910783;871.3189870400302
780;55599.508783411766;133.4881156773212;384.23583257229836;940.1026126650008
840;55394.06017375996;138.57261567732118;385.1479581430746;970.309220760872
900;42655.33467324499;136.75501567732118;370.318923749324;759.8314996955854
960;49571.25065077336;133.16211567732117;409.8273381669055;845.0165769093252
1020;51723.837213480576;205.81240107508236;381.12488901364884;1021.147811555953
1080;49524.51178405979;154.67581567732117;397.11861050398375;818.5266528158296
1140;52547.33008451083;180.7243156773212;373.58255794298225;884.1139112415743
1200;62184.1809639296;210.86801567732118;520.139182955992;990.5710451138291
1260;60689.48866355182;243.888743413735;452.7635778391721;1080.559721650515
1320;66410.39937326079;212.5796156773212;450.9848095024295;1159.50125483191
1380;62955.76753061119;199.9086156773211;433.4845886239596;1056.3565105396724
