'Time [min]';'Load profile [W]';'Load min [W]';'Load med [W]';'Load max [W]'
0;51345.51689478656;185.99931567732122;419.55926832403173;712.6731025359235
60;39399.213923989686;155.13001567732113;287.4806555104572;508.25890324085793
120;30888.37902229817;136.29681567732118;226.77055996955858;411.3498737517953
180;24417.4246745236;121.68941567732115;212.16315996955868;364.12472770167426
240;22038.70516419968;109.4071156773212;199.88085996955863;351.84991050398384
300;23189.432073596774;101.62231567732118;156.12149148588136;344.0803297629183
360;27806.79494667049;108.38561567732116;198.85935996955865;366.0934686543997
420;33612.57592407544;121.82521567732117;212.29895996955864;441.9860210953787
480;36242.113588400534;128.71591567732116;219.18965996955865;452.7969659056317
540;49586.71924671832;138.1201156773212;254.91014675824675;820.0833320364418
600;56115.01807373327;135.67461567732116;378.11741050398365;936.1239943371341
660;63233.61984723385;235.9449599695586;478.37287187450073;1031.5672337830345
720;61394.35204546425;161.58769249188055;496.2152426594715;1112.6929596427701
780;54187.610351818745;145.56495397050335;432.2593060644003;925.1375531068796
840;54722.63674566494;138.57261567732118;433.2781484610842;923.5726927713175
900;56463.12846992749;136.75501567732118;460.80473291619705;1078.215715749492
960;63367.362111327486;137.20245889574656;585.5448303628419;1123.7117203931195
1020;48676.36447812878;133.78311567732118;383.15703754439363;865.1032318555267
1080;46947.20711564932;154.67581567732117;388.2477334855403;811.8590348554034
1140;55606.44942182747;180.7243156773212;460.56792298325723;924.2265222056163
1200;61245.95057644081;214.9083588957466;453.3108105039838;958.4990829671607
1260;64785.285754992474;219.18351567732103;452.75948862395927;1055.223929665627
1320;64351.68919422056;212.5796156773212;455.02241050398374;930.7942845125724
1380;62403.49153322379;203.98428430093497;442.35141050398374;981.9113816915167
