'Time [min]';'Load profile [W]';'Load min [W]';'Load med [W]';'Load max [W]'
0;53854.90711493738;185.99931567732122;375.6143068193726;833.8137873421878
60;48439.37143857631;155.13001567732113;249.11873445250245;680.9123639406223
120;49118.01714883645;136.29681567732118;280.32303395713257;574.9108366281672
180;35695.48477320971;121.68941567732115;212.16315996955868;405.0094308980213
240;26030.96231479163;109.4071156773212;192.9738330796549;351.84991050398384
300;20150.33990589996;101.62231567732118;119.95918621561947;335.21066023269617
360;20122.181119631416;108.38561567732116;128.5898124861047;350.8284105039838
420;27478.53463118836;121.82521567732117;212.29895996955864;364.27557738272367
480;38472.925498245284;128.71591567732116;219.18965996955865;648.0739242856358
540;54289.04249363699;138.1201156773212;352.28460185042667;837.0104785181923
600;60408.574383409235;135.67461567732116;378.0952087828457;992.1225105396726
660;59142.38093139492;145.47121567732108;387.9292297629183;1008.917428598598
720;53552.45467617904;144.53554743221153;415.85409695586;889.0132116448898
780;50425.540322449364;133.4881156773212;424.89533859139345;811.2725202127057
840;52127.310766898605;138.57261567732118;419.46466064126105;953.018875771793
900;53018.67531593584;156.51919786645237;420.07503089802134;879.6994075498105
960;55714.316791019075;133.16211567732117;416.47624443939895;1044.2729724093194
1020;53837.144392583265;133.78311567732118;442.2649179872863;947.9967483986397
1080;54534.77312782654;154.67581567732117;478.70951261626925;896.1144483123555
1140;55789.93184541832;180.7243156773212;441.01488133842344;997.4446020662842
1200;53436.083542789056;210.86801567732118;441.1413095128685;888.9612848205498
1260;54296.152025170326;219.18351567732103;452.7635778391721;819.1537191374293
1320;58888.05050780136;212.5796156773212;446.17215429579966;928.9521423135465
1380;61964.94090560456;199.9086156773211;445.0493271192623;915.768585235921
