'Time [min]';'Load profile [W]';'Load min [W]';'Load med [W]';'Load max [W]'
0;50277.49484037409;185.99931567732122;378.8636450635915;761.0048816131717
60;38908.55199119239;155.13001567732113;249.44508417047177;588.3010083262247
120;30583.774900805827;136.29681567732118;226.77055996955858;460.3465329161971
180;22744.25322337631;121.68941567732115;121.68941567732115;355.26133348554026
240;18715.12496326327;109.4071156773212;141.73182394723494;302.25338660578393
300;20254.068514220806;101.62231567732118;192.09605996955864;294.48055794298233
360;22621.821886327103;108.38561567732116;198.85935996955865;352.3787972150232
420;29008.603773253573;121.82521567732117;206.2706421024206;426.45676206644396
480;45864.07465751298;128.71591567732116;219.18965996955865;885.0182690601449
540;52067.88399785068;138.1201156773212;371.688011999722;880.972904925649
600;59702.45508418011;135.67461567732116;378.1249773827238;931.6529147067586
660;56777.05306789285;145.47121567732108;387.9369691019786;888.2940837596101
720;54005.917507234844;136.7502156773212;370.3261886239595;828.4965922969127
780;52628.58779144759;168.52270188812156;375.9461297629183;888.51881950349
840;52336.81409707209;148.53636396828236;407.563898367234;803.4832634951499
900;59639.106378141;220.7527899811287;423.8836095819482;1089.1036907795503
960;61556.25776625365;223.63585996955865;488.63024577687935;989.6100105396724
1020;48850.63388446423;133.78311567732118;372.2020654490107;754.3175895637411
1080;48430.64064951047;154.67581567732117;388.23972374932373;790.9042617616628
1140;56363.50717421644;180.7243156773212;494.32460119823185;931.3266869297299
1200;63769.93206085134;247.06833007211128;543.7845547962212;1033.4879818291265
1260;69717.8931406769;219.18351567732103;533.5616886915448;1102.5056396553036
1320;67931.53871606724;212.5796156773212;455.02997738272364;1086.8806002670071
1380;68751.46207163077;199.9086156773211;453.46976220248973;1332.6916539590318
