'Time [min]';'Load profile [W]';'Load min [W]';'Load med [W]';'Load max [W]'
0;52759.05260508319;185.99931567732122;405.95803213444253;778.1305179163637
60;40676.76206205303;155.13001567732113;306.95705608252433;488.0316718745007
120;36869.95908666197;136.29681567732118;226.77055996955858;460.3506221314096
180;33171.8847648845;121.68941567732115;212.16315996955868;531.2559209854928
240;30362.57797020473;109.4071156773212;199.88085996955863;438.26830667608505
300;23420.34308962668;101.62231567732118;156.26895328628754;335.1982886239596
360;25023.287522325652;108.38561567732116;116.46729440083459;340.3631430758758
420;33270.86661308068;121.82521567732117;212.29895996955864;565.6608321156773
480;45425.330874487925;128.71591567732116;246.88685914635442;831.1125665344794
540;58815.99633916372;138.1201156773212;371.6960886239597;1041.2468775283887
600;68131.36634162442;210.95626943125004;410.23123525047356;1041.24878574009
660;65799.7150533574;235.9449599695586;469.5049126162693;1001.9191105396726
720;52652.81155434873;136.7502156773212;370.33440156253;936.08733895006
780;41437.24868762369;133.4881156773212;326.3343866057839;652.4030364808891
840;48074.803127019804;138.57261567732118;372.13652374932377;816.107499462681
900;53837.45855017097;136.75501567732118;406.30056362252674;873.3326223794603
960;52887.74837801831;133.16211567732117;375.57546997030715;956.6697068911203
1020;50094.471798499646;133.78311567732118;371.29834735571126;907.4633235002898
1080;49145.15373995418;154.67581567732117;396.21713477632375;854.7366984779301
1140;55044.46583074722;180.7243156773212;469.5797466152219;852.2843059733805
1200;55914.96653275444;210.86801567732118;449.28696544901084;971.1626265175553
1260;58858.37704591963;280.247793864887;471.7538432831431;919.9550331602763
1320;60879.80362461462;284.99970700152215;501.5754557451519;937.887256283402
1380;57821.52772018671;199.9086156773211;433.48867783917217;932.7378246233912
