'Time [min]';'Load profile [W]';'Load min [W]';'Load med [W]';'Load max [W]'
0;49797.01112788687;185.99931567732122;353.9948642849362;612.4254542653835
60;40305.50361867424;155.13001567732113;261.854685552676;514.8795264405308
120;30107.39838386734;136.29681567732118;226.77055996955858;452.17699066501433
180;24632.00941214297;121.68941567732115;212.16315996955868;383.5445898744502
240;21646.848379936364;109.4071156773212;199.88085996955863;351.84242770167447
300;26025.487608694242;101.62231567732118;192.09605996955864;407.93868317850206
360;37624.25213185121;108.38561567732116;198.85935996955865;519.241788398845
420;41559.50682951543;121.82521567732117;212.29895996955864;548.2539447025363
480;42759.46486153281;128.71591567732116;219.18965996955865;572.5515321156772
540;44610.44023349016;138.1201156773212;266.6842962962963;632.2246704056008
600;49505.22589413837;135.67461567732116;295.94858828006085;946.9077084869604
660;54894.64711462105;145.47121567732108;379.035123749324;966.8425307469026
720;59618.194157823935;199.40936152744203;473.7993024353122;952.9062970388821
780;58054.14280459827;169.85453490132056;449.09064727499015;991.6073687201261
840;52207.45457746489;138.57261567732118;389.3269476665107;862.7735289193301
900;55658.19100887428;136.75501567732118;379.1978105039837;993.2029105396726
960;54219.743312498074;173.01710884116582;396.0964019588379;917.5040664391832
1020;49496.59768447177;133.78311567732118;377.23403786949257;799.9415906775849
1080;53658.74266682824;154.67581567732117;401.25115814307463;840.5456159683542
1140;61809.0962042269;264.72208998112876;483.68299521920306;923.577104925649
1200;62282.579023976396;265.3690760315369;551.978343370042;943.4262111698255
1260;61417.727857940394;219.18351567732103;500.4109712093129;958.9417940899327
1320;62121.25871720293;212.5796156773212;509.3716683876793;1105.29655452384
1380;56920.199592392084;199.9086156773211;433.47252374932384;828.6899743236398
