'Time [min]';'Load profile [W]';'Load min [W]';'Load med [W]';'Load max [W]'
0;58349.27643572673;185.99931567732122;419.57528862395964;877.8820619265058
60;45491.338432191646;155.13001567732113;318.6247513277231;721.6220179973618
120;32303.494820622916;136.29681567732118;226.77055996955858;441.6849435312024
180;24318.65836517518;121.68941567732115;211.22843950603072;355.2694778391722
240;21249.611963496744;109.4071156773212;109.4071156773212;351.8574773827238
300;21164.824249553993;101.62231567732118;192.09605996955864;383.40384516900014
360;24773.943362528364;108.38561567732116;190.13863743396905;401.2848701156394
420;30046.81594207293;121.82521567732117;212.29895996955864;445.8708777777778
480;36226.70186620294;128.71591567732116;219.18965996955865;461.1461541349568
540;42262.09782181172;138.1201156773212;286.0653211567733;612.4580152207001
600;52409.15205386587;135.67461567732116;369.2425119997221;838.7435784240845
660;64135.38560940455;145.47121567732108;493.21362979576446;1036.0361426556979
720;62621.8489402831;227.22395996955868;484.57641845651585;975.0259592313804
780;56730.00071566148;133.4881156773212;430.85064800534025;1071.8226616915654
840;56458.071814449104;138.57261567732118;431.44934812992386;904.9545112247467
900;56809.0241813403;136.75501567732118;420.05756452079754;1041.9595758342912
960;52761.08995387088;133.16211567732117;402.1533983672341;947.9912705128418
1020;46750.77532822555;133.78311567732118;367.35908862395956;796.5946339648771
1080;48897.39666174655;154.67581567732117;393.4575844190715;870.2576615331396
1140;55248.05999547333;180.7243156773212;431.47203257229836;857.4366444444445
1200;61395.465637254776;210.86801567732118;449.76539122952335;953.7208049256487
1260;68629.68499903612;219.18351567732103;496.075321867072;1166.10515483191
1320;70538.872499408;212.5796156773212;545.4812718745006;1069.0275105396724
1380;61736.639649891615;199.9086156773211;433.49280156253013;956.1112983257227
