'Time [min]';'Load profile [W]';'Load min [W]';'Load med [W]';'Load max [W]'
0;58588.43787156671;189.7037349568746;456.13283123066526;889.3251940205301
60;43975.8881300346;160.75563495687467;391.4144132888038;633.8497253131568
120;39656.539266478896;152.30813495687468;339.92335943431254;574.1940241839418
180;34750.22509686152;134.8201349568747;289.8716374194053;482.72987968506635
240;32390.34834500378;123.38123495687475;264.3225115688107;463.8680391534391
300;30487.35905155022;115.49273495687474;258.7916457315416;357.95074904247184
360;30869.472213408862;122.7112349568747;281.88669859138855;473.49753632673765
420;36217.10823716245;127.97833495687472;313.5035570238175;555.9388690481705
480;41640.22789159796;123.2790349568747;342.48295592984795;787.2407324213693
540;55248.706633158756;128.6709349568747;385.42969183202786;1091.9739237818314
600;61143.266559003176;229.86415794013183;514.8831322679306;1050.9132238913667
660;65738.400733494;242.41715794013191;487.5997094233153;1259.4949860762601
720;60215.617234674144;159.58467518443666;532.3299958875275;1032.2794129705778
780;59504.041842134495;138.51283495687466;488.03290725520037;1094.7966889950676
840;55658.29632531682;165.08187937224594;474.3131004058854;920.2484306730563
900;63056.92755319139;226.4392579401319;540.5591073639197;1208.4957287778766
960;58112.92478061279;155.60954013702897;467.72166601213456;1038.4172968605812
1020;60109.46356114643;240.84885794013192;546.3470752416896;999.2835298192263
1080;57000.66127577012;153.14693495687473;489.04392015030544;903.3086296627356
1140;55423.014700499174;160.3447349568747;508.91812563025945;835.5404217428672
1200;57101.91671649526;249.9340781315259;478.13567262727355;898.5627282935576
1260;71970.5341156092;301.3834207839643;626.1517146648989;1204.6214203255722
1320;72822.33116225521;313.8120579401319;630.0454102993402;1277.9390950305485
1380;68486.64827024791;252.12763777399414;544.0996196455343;1179.060336800674
