'Time [min]';'Load profile [W]';'Load min [W]';'Load med [W]';'Load max [W]'
0;58524.162271528636;189.7037349568746;456.13283123066526;926.378315138872
60;44870.05360037397;160.75563495687467;391.4144132888038;722.9995540802801
120;39100.141976837425;152.30813495687468;339.92335943431254;580.311377590921
180;32439.551521250178;134.8201349568747;237.6683400074562;475.2837196455344
240;29171.121734747918;123.38123495687475;264.3225115688107;457.1747347263832
300;25211.53770693898;115.49273495687474;215.13930513978116;447.086020101983
360;27822.219026839386;122.7112349568747;220.72445794013197;474.74494085704964
420;35911.05258151406;127.97833495687472;313.5035570238175;563.2482096788044
480;51105.62486577838;123.2790349568747;374.13633024425405;979.726929819226
540;59666.15117992028;128.6709349568747;483.4429148152852;1076.9948611514237
600;63290.635133591706;229.86415794013183;484.4932809313619;1072.871606880986
660;60324.35004117927;144.4039349568747;484.8599527667946;1130.3864542678784
720;55833.997779246754;211.0543460679858;463.4381233063554;913.084959972544
780;56498.866655003614;151.96239909137032;528.021115032502;931.3777550629434
840;53922.53905920455;227.73775794013196;461.31373088677026;815.9880633001728
900;59094.13909517641;229.43766491726726;478.35494571604;992.6592615741163
960;63282.36069296534;234.15775794013194;479.1371587714164;1105.2766717535558
1020;65696.04950999553;187.6181391625944;582.8198931680801;1199.230827068769
1080;64517.978938357584;223.85294127931945;500.03281787547957;1043.4142367163188
1140;61674.990791622644;237.12555687468284;521.3162018037499;996.1925082541737
1200;61454.75534523563;283.2998579401319;576.1488956105309;997.0808961148348
1260;65121.106599457205;271.907477317254;626.1517146648989;993.9251068172092
1320;68270.0123746755;254.36574749638993;634.2680190688725;1123.2917792881374
1380;68546.04293805377;227.880314439541;599.6537574603658;1072.3471148170865
