'Time [min]';'Load profile [W]';'Load min [W]';'Load med [W]';'Load max [W]'
0;58319.44468221251;287.7169579401319;456.13283123066526;999.5355519308176
60;47386.74350210311;160.75563495687467;394.3275527650939;734.7835705750138
120;36692.95541175055;152.30813495687468;339.92335943431254;573.4952772425318
180;29779.8386283505;134.8201349568747;289.8716374194053;523.2221385197091
240;28499.477017342582;123.38123495687475;264.3225115688107;463.8297699644852
300;29156.317065253712;115.49273495687474;258.7916457315416;488.45893250080695
360;29252.996327084307;122.7112349568747;280.30397006538635;458.67342066824455
420;34783.03097942404;127.97833495687472;313.5035570238175;498.3248032601239
480;43994.39851319195;123.2790349568747;342.48295592984795;732.3736135284835
540;54067.285673101724;142.1204990913703;385.42969183202786;985.1188298192263
600;65757.2584192943;303.44882219009503;521.3311055139319;1076.3274156269206
660;71932.76905447514;310.07834878889975;630.1366641412321;1180.4114931001857
720;74504.78270950369;247.95645794013197;563.8972120271992;1412.8248495614234
780;63656.476842992844;236.52605794013192;528.021115032502;1122.151397365221
840;60375.923976627644;198.41880410673875;489.5624211229218;1130.497081318889
900;53894.37186990681;153.480965107424;447.85588662815815;972.7031599293073
960;59030.018256425705;136.1445349568747;459.24955778792497;1081.0763626718322
1020;54912.58784810146;142.8356349568747;483.29165276679475;884.7221456113648
1080;58476.396072367614;188.1839442811524;489.04392015030544;952.4334410852174
1140;57915.43773432277;160.3447349568747;430.43320999366864;991.0357000267314
1200;61099.200114627216;185.28663495687465;527.7126822072222;990.3954709529962
1260;64319.78965565709;297.1160548079651;539.7543660121345;1060.1081222701534
1320;67454.6726828557;313.8120579401319;573.2266095085985;1031.3209508389034
1380;65987.75904254666;301.649257940132;552.8877554988516;966.1395500012654
