'Time [min]';'Load profile [W]';'Load min [W]';'Load med [W]';'Load max [W]'
0;59259.27702652929;189.7037349568746;456.13283123066526;941.4649874030588
60;44822.98662700477;160.75563495687467;391.4144132888038;785.6640717690882
120;38433.72225637177;152.30813495687468;339.92335943431254;582.3813735199096
180;32620.369173739273;134.8201349568747;289.8716374194053;549.0667102993405
240;28249.64882875987;123.38123495687475;262.321223486202;457.18684095508104
300;26425.910624215743;115.49273495687474;258.7916457315416;407.4103821303994
360;27186.388207656822;122.7112349568747;281.88669859138855;379.89992157464576
420;29744.06915838562;127.97833495687472;309.7992688855812;424.9190821379728
480;41106.80543198401;123.2790349568747;342.48295592984795;616.5759017227556
540;56349.082921234636;128.6709349568747;385.42969183202786;1116.1045665025144
600;57404.666327363644;131.85093495687468;423.31788253067475;1073.5635338456361
660;64821.08541866028;235.4405520976952;457.67951419942915;1243.2651841122115
720;67208.43809895671;247.95645794013197;566.8797231262397;1132.7865861090013
780;62637.83675755996;149.66068568904285;496.6905966485627;1163.597088291922
840;57561.62978597103;134.6655805041575;516.8674898399063;983.8354740409159
900;57964.56509462995;226.4392579401319;463.2351431436578;1053.2746244678747
960;59765.49436452171;293.73235159420545;467.7296757483511;1090.6056528024833
1020;52518.88145086174;211.53207228112723;464.6990183525339;849.7242009255833
1080;59513.651329535176;251.16015794013197;489.04392015030544;1009.5948298192257
1140;69246.88238230356;313.2135060507798;604.1803513952306;1103.9251958730829
1200;67919.06123245356;283.2998579401319;561.2415100576;1139.1154213924303
1260;67925.62557235952;306.1904579401319;587.0097457554606;1039.2384402348507
1320;73680.82194949705;254.72549373132642;619.3102752416895;1277.5152820216806
1380;68862.47207556832;203.6360349568747;577.401427373487;1086.2944358533248
