'Time [min]';'Load profile [W]';'Load min [W]';'Load med [W]';'Load max [W]'
0;46666.47642579757;131.8669156773212;319.66061677055893;558.2851044140031
60;38455.565471460446;124.60721567732118;215.08095996955862;596.5927109676054
120;32516.349690370917;107.87791567732117;198.35165996955863;480.80946100593434
180;25116.067261902474;100.02831567732119;190.50205996955862;383.3603022352198
240;22833.274513468885;98.11751567732115;188.59125996955862;340.5381087828457
300;22817.161560912595;99.78571567732118;190.2594599695586;342.2210277016742
360;26329.034473140393;114.53201567732118;205.00575996955862;438.5736562919595
420;32421.858463520857;131.84451567732108;222.31825996955874;546.091091019787
480;43007.86825462645;130.12861567732116;220.60235996955862;747.042707139582
540;63101.69889590169;144.63171567732118;385.5727254763659;1094.5925882529996
600;66120.86105449428;139.54491567732123;421.85111725455454;995.9928105396723
660;67161.03007325208;139.14341567732117;443.78164614266404;1129.6930203931195
720;52766.07244417249;134.47261567732116;378.58444880587;859.1068380565204
780;51588.28301675043;143.41171567732113;385.82506997030725;929.0654750798168
840;45623.00911036885;146.01761567732115;380.52987661998554;794.6275852359207
900;53901.71391076471;151.56971567732117;446.27524846108395;962.0719987823438
960;57382.47526967467;163.5450156773212;406.0107691019787;991.0430544584456
1020;60779.2850526;198.7344156773212;522.7923458547675;1033.7215739330466
1080;60347.57161670845;246.59740745814312;514.6474385913934;899.7442611792038
1140;56219.02557488697;219.63621567732116;462.05680878284585;902.3609840423973
1200;54585.744083059966;230.1119871422512;464.6205581430745;869.7667508926467
1260;60347.198265453495;213.91511567732115;519.5296246489593;981.9856168247711
1320;61147.188007980105;199.56571567732104;433.14990156252986;1056.0136105396728
1380;55440.278002712206;161.59841567732113;395.17847783917216;891.7885608419093
