'Time [min]';'Load profile [W]';'Load min [W]';'Load med [W]';'Load max [W]'
0;51263.999093375496;131.8669156773212;324.71913883489367;742.7673976663589
60;39000.50375491589;124.60721567732118;215.08095996955862;474.25032525954805
120;29987.28947351778;107.87791567732117;198.35165996955863;431.9441985880371
180;22636.436657939623;100.02831567732119;189.5657719735325;333.6166602326961
240;21476.927420283067;98.11751567732115;162.76495885197238;297.69051764155677
300;21767.22951348711;99.78571567732118;190.2594599695586;356.5528389649923
360;21818.672390721586;114.53201567732118;205.00575996955862;356.9599275822635
420;29143.313952062766;131.84451567732108;222.31825996955874;375.4906719353253
480;50248.86717705254;130.12861567732116;293.9769209064605;899.5688032093701
540;62061.43709529646;144.63171567732118;361.47392775240974;1001.0796105396724
600;67861.69476162524;139.54491567732123;467.1392954849668;1019.1158580462926
660;59774.75394654514;139.14341567732117;387.34353979475065;875.7250106298592
720;51826.14279465607;134.47261567732116;368.0405119997222;948.0930917160919
780;51791.01175114227;143.41171567732113;377.0000602326961;904.0958915947293
840;52849.557898620194;146.01761567732115;414.9583835723627;907.0651294411194
900;58138.08710864395;151.56971567732117;447.29073185253986;1061.4486330421616
960;56174.877641057254;179.1170198214446;454.95223859139344;1014.836200519876
1020;59468.770496178804;198.7344156773212;507.59777471956824;971.3154354876939
1080;50275.76470322335;223.24021567732117;456.8121334855404;796.6487173412789
1140;61613.097446542575;219.63621567732116;520.3487428147868;969.2252567732118
1200;55596.2042371213;218.04521567732118;542.0789126162691;864.8968437528291
1260;55521.14463361024;213.91511567732115;460.49045814307453;961.0531620855687
1320;61917.81667509747;199.56571567732104;498.0504482096547;934.2941922300352
1380;64432.25035279241;161.59841567732113;404.03372770167425;1189.570538809268
