'Time [min]';'Load profile [W]';'Load min [W]';'Load med [W]';'Load max [W]'
0;54258.05217592277;131.8669156773212;365.43481199972206;862.0751348554035
60;44225.02495105075;124.60721567732118;246.2249682578054;568.4428321156772
120;33129.00110512491;107.87791567732117;198.35165996955863;431.907689612496
180;26975.632756346877;100.02831567732119;190.50205996955862;383.3542831271311
240;26968.119802799054;98.11751567732115;188.59125996955862;422.15121261626933
300;29703.10807305087;99.78571567732118;190.2594599695586;383.08826452079757
360;33059.65195067804;114.53201567732118;205.00575996955862;397.84614443939927
420;32244.434324581336;131.84451567732108;192.4496639537024;382.44841303406434
480;31741.467971635673;130.12861567732116;220.60235996955862;469.938224896432
540;43969.41673159759;144.63171567732118;317.2344554033484;719.3219692730559
600;51043.63976337347;139.54491567732123;353.3546157883913;927.8614064326173
660;57311.28483704897;152.4205495024002;468.48477447073486;947.0070369187632
720;58946.45426190796;134.47261567732116;467.38915479622125;1039.048060754536
780;53826.69754874244;173.97316657448494;414.3254633647138;987.5472545627218
840;49373.47204552449;188.83913394216142;383.4869499452291;798.0056436957614
900;56996.71796547123;171.7739124861047;393.99762758226336;1008.0176105396723
960;56264.46183994818;254.01875996955872;446.86503089802125;934.7041807131985
1020;55033.79867853114;198.7344156773212;465.10690607378405;895.8599675849403
1080;48871.74225004578;223.24021567732117;404.2417876512713;699.495273740397
1140;57350.41808194613;219.63621567732116;500.01251946155065;847.6318069227943
1200;59954.53610152424;218.04521567732118;460.48801050398396;958.1743026279795
1260;59650.743173341405;213.91511567732115;447.49108862395957;1002.8677935118576
1320;67737.96282272297;199.56571567732104;493.4357700126697;1146.4873548319097
1380;67079.65476798869;161.59841567732113;485.65222213140964;1168.8945951932617
